Bench mbasis, FFT prime p = 882705526964617217, bit length = 60
rdim	cdim	order	app-rcmp	app-rupd	int-rcmp	int-rupd
64	1	2	0.00095710	0.00086644	0.00094886	0.00087593
64	1	4	0.00161817	0.00155969	0.00165164	0.00154523
64	1	8	0.00299377	0.00293585	0.00299727	0.00295596
64	1	16	0.00577352	0.00588111	0.00569497	0.00594099
64	1	32	0.01131551	0.01252962	0.01114118	0.01262494
64	1	64	0.02222764	0.02862179	0.02225331	0.02889878
64	1	128	0.05432755	0.08291368	0.05495846	0.08284438
64	5	2	0.00088213	0.00079134	0.00087731	0.00078573
64	5	4	0.00161391	0.00150810	0.00167227	0.00158516
64	5	8	0.00312846	0.00321577	0.00304774	0.00323059
64	5	16	0.00675245	0.00781024	0.00669117	0.00791688
64	5	32	0.01633513	0.02249349	0.01561135	0.02239274
64	5	64	0.04439653	0.07180403	0.04366094	0.07277854
64	5	128	0.14219297	0.25663039	0.13476824	0.25555868
64	9	2	0.00104592	0.00083785	0.00097963	0.00086199
64	9	4	0.00179872	0.00159720	0.00171365	0.00163398
64	9	8	0.00351047	0.00362353	0.00333530	0.00361986
64	9	16	0.00820274	0.00999803	0.00761247	0.01003851
64	9	32	0.02212432	0.03138165	0.02012366	0.03172462
64	9	64	0.06810217	0.10921490	0.06109732	0.10970709
64	9	128	0.23334470	0.40568206	0.20625722	0.40842392
64	13	2	0.00105111	0.00084158	0.00094940	0.00080756
64	13	4	0.00188477	0.00162783	0.00177470	0.00164892
64	13	8	0.00417845	0.00422458	0.00384617	0.00420503
64	13	16	0.01032957	0.01223570	0.00903220	0.01223296
64	13	32	0.02914799	0.03967111	0.02517907	0.04097548
64	13	64	0.09301234	0.14121436	0.07700447	0.14350349
64	13	128	0.32851179	0.53419539	0.26802410	0.54483634
64	17	2	0.00108058	0.00087391	0.00101781	0.00085945
64	17	4	0.00215542	0.00187938	0.00197365	0.00182700
64	17	8	0.00469792	0.00460885	0.00409802	0.00464453
64	17	16	0.01192738	0.01369119	0.01002499	0.01379382
64	17	32	0.03541707	0.04587577	0.02842181	0.04642316
64	17	64	0.11864583	0.16862103	0.09118009	0.16894007
64	17	128	0.42686456	0.63666454	0.31943491	0.64472833
64	21	2	0.00111141	0.00086311	0.00104292	0.00086911
64	21	4	0.00219046	0.00185362	0.00200033	0.00186637
64	21	8	0.00502773	0.00482551	0.00423041	0.00481703
64	21	16	0.01360007	0.01477985	0.01076787	0.01502640
64	21	32	0.04203323	0.05067960	0.03118826	0.05164454
64	21	64	0.14484474	0.18664419	0.10335348	0.19046193
64	21	128	0.53027693	0.71819637	0.36382485	0.72962593
64	25	2	0.00114724	0.00086683	0.00106013	0.00087753
64	25	4	0.00244078	0.00196847	0.00212429	0.00196419
64	25	8	0.00574146	0.00521999	0.00462859	0.00526858
64	25	16	0.01589919	0.01593331	0.01165485	0.01621235
64	25	32	0.04961265	0.05467707	0.03399678	0.05575447
64	25	64	0.17695539	0.20113637	0.11151068	0.20490173
64	25	128	0.63732052	0.77093967	0.39949429	0.79168151
64	29	2	0.00118861	0.00087041	0.00107927	0.00086995
64	29	4	0.00252556	0.00193871	0.00218338	0.00197378
64	29	8	0.00633151	0.00534082	0.00482492	0.00539471
64	29	16	0.01789225	0.01652363	0.01227025	0.01692359
64	29	32	0.05761869	0.05724738	0.03603422	0.05858791
64	29	64	0.20089890	0.21156511	0.11920153	0.21669200
64	29	128	0.75126119	0.80729166	0.42355694	0.83482945
64	33	2	0.00139060	0.00108780	0.00130037	0.00109888
64	33	4	0.00300427	0.00241465	0.00259875	0.00254014
64	33	8	0.00744098	0.00639507	0.00589237	0.00650762
64	33	16	0.02078816	0.01953497	0.01522903	0.01983526
64	33	32	0.06651085	0.06620135	0.04514618	0.06789928
64	33	64	0.23321491	0.24324014	0.15309109	0.25251426
64	33	128	0.87788454	0.93316143	0.55572916	0.96179150
64	37	2	0.00137794	0.00106088	0.00128805	0.00107715
64	37	4	0.00302358	0.00234769	0.00252901	0.00234292
64	37	8	0.00763167	0.00617911	0.00576653	0.00635124
64	37	16	0.02209473	0.01905995	0.01520046	0.01955671
64	37	32	0.07173244	0.06530147	0.04560227	0.06793070
64	37	64	0.25728909	0.24154171	0.15409347	0.24884224
64	37	128	0.96814404	0.92536426	0.55648087	0.95791570
64	41	2	0.00135536	0.00102701	0.00123941	0.00103351
64	41	4	0.00301885	0.00223062	0.00246162	0.00222627
64	41	8	0.00786107	0.00600739	0.00578712	0.00616133
64	41	16	0.02336635	0.01840955	0.01515560	0.01915286
64	41	32	0.07779948	0.06290508	0.04502531	0.06518154
64	41	64	0.28007247	0.22892045	0.15056678	0.24026108
64	41	128	1.05011839	0.87672491	0.54651250	0.92638313
64	45	2	0.00132623	0.00098702	0.00120482	0.00099307
64	45	4	0.00317823	0.00217478	0.00247886	0.00219195
64	45	8	0.00820612	0.00572877	0.00566963	0.00585677
64	45	16	0.02461495	0.01726814	0.01476654	0.01882948
64	45	32	0.08335793	0.05872053	0.04402717	0.06190985
64	45	64	0.29923587	0.21243568	0.14553299	0.22739754
64	45	128	1.13184407	0.80794686	0.52071328	0.86065762
64	49	2	0.00130090	0.00093895	0.00115920	0.00094523
64	49	4	0.00322872	0.00210961	0.00244067	0.00211618
64	49	8	0.00850383	0.00530799	0.00554911	0.00549538
64	49	16	0.02575545	0.01563474	0.01412436	0.01654429
64	49	32	0.08694830	0.05302410	0.04154795	0.05594084
64	49	64	0.31702106	0.18712666	0.13555075	0.20357537
64	49	128	1.20613138	0.71815590	0.48320618	0.77701341
64	53	2	0.00124474	0.00087916	0.00105879	0.00083946
64	53	4	0.00312454	0.00192904	0.00230345	0.00192910
64	53	8	0.00857966	0.00466107	0.00524559	0.00493080
64	53	16	0.02646327	0.01353247	0.01325298	0.01458178
64	53	32	0.09071978	0.04392379	0.03808458	0.04856873
64	53	64	0.33832901	0.15628408	0.12294478	0.17450745
64	53	128	1.28042420	0.59518272	0.43710383	0.66709598
64	57	2	0.00119954	0.00080936	0.00104248	0.00082491
64	57	4	0.00301858	0.00168157	0.00212945	0.00170546
64	57	8	0.00876134	0.00403946	0.00491232	0.00432319
64	57	16	0.02750067	0.01100333	0.01212368	0.01225692
64	57	32	0.09482048	0.03436719	0.03393412	0.03979757
64	57	64	0.34913080	0.11793682	0.10667368	0.14017603
64	57	128	1.34804158	0.43711862	0.37112403	0.52437530
64	61	2	0.00114321	0.00073218	0.00091136	0.00069231
64	61	4	0.00289784	0.00143481	0.00193783	0.00145635
64	61	8	0.00844744	0.00315565	0.00437873	0.00350646
64	61	16	0.02805352	0.00791574	0.01059850	0.00933916
64	61	32	0.09792853	0.02248509	0.02857391	0.02862694
64	61	64	0.36359916	0.07254149	0.08680018	0.09699039
64	61	128	1.41049759	0.25710531	0.29294109	0.35577748
128	1	2	0.00622566	0.00589366	0.00621321	0.00595630
128	1	4	0.01139346	0.01108376	0.01146702	0.01089489
128	1	8	0.02120144	0.02094759	0.02175346	0.02149937
128	1	16	0.04210364	0.04262751	0.04393278	0.04331298
128	1	32	0.08312957	0.08748149	0.08322843	0.08852479
128	1	64	0.16543711	0.18766159	0.16671157	0.18350055
128	1	128	0.32924241	0.42538913	0.32553844	0.42710370
128	8	2	0.00623229	0.00577595	0.00613013	0.00571750
128	8	4	0.01132757	0.01082741	0.01129311	0.01103495
128	8	8	0.02198512	0.02258784	0.02178683	0.02303790
