Bench mbasis, random prime p = 610672428373912909, bit length = 60
rdim	cdim	order	app-rcmp	app-rupd	int-rcmp	int-rupd
128	15	16	0.05469877	0.06661457	0.05195944	0.06713731
128	15	32	0.14777339	0.20530840	0.13280879	0.20446105
128	15	64	0.44864987	0.70077373	0.40862319	0.70624329
128	15	128	1.50894315	2.57469474	1.34672681	2.57602608
128	22	2	0.00636231	0.00555973	0.00615201	0.00559071
128	22	4	0.01219077	0.01115419	0.01160899	0.01122563
128	22	8	0.02782216	0.02828347	0.02468445	0.02807581
128	22	16	0.06606543	0.08021582	0.05980243	0.07977767
128	22	32	0.18832803	0.25945059	0.16606379	0.26074864
128	22	64	0.59817418	0.92608885	0.51105712	0.92876427
128	22	128	2.12809545	3.45602714	1.77588992	3.47205031
128	29	2	0.00648458	0.00556611	0.00616446	0.00553231
128	29	4	0.01250666	0.01135523	0.01169121	0.01146171
128	29	8	0.02947421	0.03025920	0.02643806	0.03031023
128	29	16	0.07668907	0.09073378	0.06597309	0.09123207
128	29	32	0.22910495	0.30663914	0.19031897	0.30824876
128	29	64	0.76222537	1.11146093	0.61480886	1.11383044
128	29	128	2.73986066	4.22153244	2.13447708	4.25724747
128	36	2	0.00668907	0.00570864	0.00606338	0.00542157
128	36	4	0.01343475	0.01229243	0.01250571	0.01210472
128	36	8	0.03137405	0.03098510	0.02759437	0.03065479
128	36	16	0.08527361	0.09418524	0.07022214	0.09569991
128	36	32	0.26114022	0.31664863	0.20835162	0.32060406
128	36	64	0.88007187	1.15430252	0.68468170	1.17295071
128	36	128	3.22172462	4.39980866	2.43263030	4.42855362
128	43	2	0.00669992	0.00547898	0.00620657	0.00539308
128	43	4	0.01540934	0.01307262	0.01333511	0.01289920
128	43	8	0.03574590	0.03454972	0.03004862	0.03464205
128	43	16	0.10124961	0.10443206	0.07901150	0.10568713
128	43	32	0.30822695	0.35267564	0.22884275	0.35450392
128	43	64	1.05738939	1.29423660	0.75219107	1.29680608
128	43	128	3.86078947	4.93726067	2.68469554	4.97343788
